Model,Accuracy,F1
Logistic_Regression,0.4350282485875706,0.39592407980893646
Decision_Tree,0.423728813559322,0.4237405106970324
Random_Forest,0.5141242937853108,0.5052122413073269
KNN,0.4858757062146893,0.46546466699725647
Naive_Bayes,0.480225988700565,0.4432337906914179
SVM,0.4915254237288136,0.4574215986728633
Neural_Network,0.4519774011299435,0.4447249757984221
