Actual,Predicted
36,57.341793247384985
64,74.15314376906566
74,70.72164508348379
77,70.31227630277647
77,63.29803467754803
1,62.546360487749496
74,75.17079252484668
74,72.04779261613331
5,56.488623491000716
69,74.78681557236287
77,71.8921968341982
5,64.98762064340315
85,74.62997007369681
72,75.11054711010401
59,70.1097114018029
74,75.38454857458838
88,76.17343666350976
71,73.37415542677326
75,76.18228411763661
81,57.690105544334514
71,70.41398723750703
67,68.42013951753532
73,68.9972000026849
81,69.2243131130024
72,70.86987805329477
84,75.49564495086844
69,63.510350142381824
46,67.23677952230383
86,74.2269267228371
66,73.95520437266099
86,64.89273981622073
92,64.59757397232691
4,71.28724084987384
65,72.65565653965972
55,69.79407273734088
74,75.09430251913835
62,77.09272528305269
86,72.62976612798508
66,62.45266018870517
78,71.27091121055838
81,76.62269232172103
66,60.50820071014082
78,70.50028403830012
66,75.99300760393564
74,75.09636164589025
86,70.35655351252932
44,64.83793380398016
83,72.51190595776777
59,70.94948503224289
82,74.00659489967866
78,69.70963644771675
59,71.99664785601458
72,74.79000386580987
73,70.78630489855226
87,76.87296853981243
71,76.84923180175522
55,63.126020661246294
82,69.87155082419775
62,74.63707081295011
55,75.07337439853147
37,53.574217035315236
79,73.62435382552027
63,70.95100696756887
83,72.99044823217976
47,61.90096136374244
66,68.87924294258517
37,62.53662003804953
69,73.00785031891576
39,59.32960695281231
65,74.82757797854335
83,74.07332822607219
75,62.13343008056166
47,70.95147420087929
49,56.38869033546337
78,63.5753366691004
65,71.91137343233973
34,52.7501639274779
69,70.71203229886642
56,65.24725764994477
88,73.17762644294709
70,59.17134978209336
72,70.62820576601096
65,72.00427167324892
2,63.67778032532827
68,74.34352979614303
62,62.44181102480477
70,68.5486807810688
48,62.106122780137596
25,71.70370102137272
84,70.89085975815762
5,66.27494068733635
36,55.32129104046902
82,74.81545938370789
74,68.5122706425583
84,67.71622135474524
79,74.81909146039962
41,57.98222352374457
2,73.14204246366302
62,70.13947484361915
10,70.75360475636202
77,75.83775356283175
58,76.81059205638846
88,61.364309200696376
43,57.48787605419162
81,67.13205677822336
44,51.14293838890923
86,75.9619866873803
83,75.33525446920719
39,72.3801562210243
33,54.713811805282134
81,70.65622064902556
85,70.73535083348285
79,74.29478672870584
63,67.28581883132664
58,68.42803199994638
72,71.66144177339154
61,72.30738603349015
82,72.55896345839467
30,57.717993211240525
1,77.51819557743138
41,68.75295080350237
49,70.09008323080562
82,67.8073761545696
73,73.52037132352595
62,64.6584889950803
89,73.76587035569561
77,65.64890009718884
78,72.49500579026096
76,76.20905040227831
77,71.0237984834239
6,66.62376192126334
2,67.35918102575985
74,72.28180068471401
85,75.3176507892745
32,62.21791521402609
71,75.01087840738302
67,64.7004752323263
76,71.71073445157661
55,68.98063735321325
53,74.83496452909057
35,56.89297762656346
83,72.78446856675068
47,63.01322995386295
84,71.0638445444813
34,55.301036678560415
59,76.91833353450124
40,66.54522402114863
76,72.73005037765189
30,56.68705174794657
81,67.25194229092854
83,76.59554367777532
89,70.0873345357826
89,70.32358208473026
85,73.42208730450226
67,70.27039006946453
79,53.71807693867185
32,58.189739684453244
18,74.1894174638822
83,73.93047090820494
70,61.27598324456566
3,69.7495917403953
59,75.28777161145949
4,70.58419657760082
76,67.1572753378242
72,68.90899474052401
35,54.870026580129206
1,62.62776342511249
2,73.85680593617717
77,77.53560060366753
67,68.12709560795616
32,58.807745199712514
85,75.34253961686736
90,73.76995401918471
78,55.27886715056452
1,74.12389447334064
65,72.96761228013123
1,63.07745472948163
81,78.4870904723382
34,53.05197340626549
93,73.4777298908879
48,52.154203867308176
83,75.56802235313043
