Actual,Predicted
36,53.63584411315893
64,65.65932981456488
74,61.89856332752942
77,78.08472145470324
77,59.782678995206425
1,55.78645004408097
74,69.94552471401133
74,61.017958514465185
5,54.39405230357186
69,65.30788082866296
77,63.28910137152844
5,56.04177347061284
85,68.3500446003849
72,63.78633356200635
59,68.73495687485396
74,65.69773252697381
88,68.84050490842196
71,65.56504161767432
75,70.6180756027185
81,55.625468293900624
71,62.732687317594376
67,60.818897619153816
73,60.719442107950634
81,63.93403819834735
72,62.90227678107906
84,65.58824851307752
69,59.23563856525683
46,97.97507534968537
86,72.3624709843196
66,64.49340757026607
86,62.12655224834847
92,63.083397254148146
4,62.23653924721107
65,69.36483586345977
55,65.61227166134393
74,67.04809861707282
62,69.2614673125267
86,64.80575693942936
66,59.35103238706197
78,67.8263410977262
81,64.91262628718098
66,54.441483808914924
78,75.05064508552258
66,63.6271976457839
74,67.28821520850587
86,64.90350692999846
44,56.94755368115957
83,65.59374604676843
59,67.58113039718019
82,65.85808331581389
78,80.50808870322663
59,62.56132478326978
72,66.83437943690942
73,68.8774484560155
87,69.31672711214857
71,69.1331374486381
55,55.617119920344834
82,59.03982972962664
62,65.50440867971763
55,64.98720073941054
37,53.64046412078495
79,63.69920933323709
63,60.86659596320588
83,62.467118032546985
47,55.504573978110486
66,60.90585291574704
37,56.69095935274417
69,64.20530451100245
39,52.52305081832597
65,63.03773726193361
83,67.01046490775941
75,55.347613297151
47,63.38925031490675
49,58.34611471549172
78,58.79489305489369
65,72.8082101989203
34,55.06324788610262
69,63.09028104622202
56,62.18817973094271
88,67.97677946851562
70,54.58258937919248
72,61.83952862978315
65,61.941767077908686
2,57.84433231331771
68,74.74053786371236
62,57.22139050920919
70,59.3337721351906
48,59.843793706601026
25,66.94086742089502
84,62.50226991138776
5,57.74689160138319
36,54.33975279052883
82,65.57897180799004
74,63.27548980833593
84,60.68406962735669
79,67.20668926820834
41,56.07593040036234
2,65.28210479529974
62,60.39416630314761
10,65.80886056257026
77,66.55052637745894
58,68.93618405199108
88,58.59515296042301
43,53.79240272895704
81,61.92814241364268
44,53.41930094763403
86,64.62021115828269
83,67.26282499713705
39,66.01490507015892
33,53.67560789725369
81,65.55046481880231
85,62.76228319779913
79,66.34606878192906
63,62.14081913779545
58,78.62951185792139
72,64.79908248119399
61,63.05186224737366
82,62.61731411324894
30,55.081291474895636
1,67.62788995164867
41,64.26134055346444
49,67.91961203235309
82,67.43727925601243
73,69.77568859219728
62,60.02091692049304
89,67.71431299383211
77,60.256229648666036
78,63.36466644919295
76,69.9230382516543
77,64.62668839834248
6,60.13121602876878
2,59.2104020436886
74,63.28104244799205
85,65.23329621237056
32,58.95494290568637
71,63.69164240917624
67,59.98283744522455
76,64.3510189678158
55,77.63418599688306
53,68.30835704279762
35,55.61645388958418
83,64.24380539963423
47,60.3531062416083
84,61.32178125409669
34,57.43039451955434
59,69.55063307845028
40,61.07295446257331
76,63.82648199475586
30,57.484173388697094
81,61.878714775982196
83,69.38837411998199
89,76.24517690344821
89,62.415973599834196
85,69.54053852218455
67,60.63548473296382
79,54.092564967987556
32,53.480968829078364
18,62.398294351564374
83,65.7385070815802
70,54.556888058758716
3,63.42401004683393
59,69.37611936078753
4,61.82177234400406
76,61.8955458306527
72,60.72584939770877
35,54.43161039001112
1,58.95305663131009
2,74.93691464985173
77,66.20119688948654
67,67.65138134779603
32,56.787849933201144
85,65.55248265082598
90,68.15255290099219
78,55.78688053143173
1,64.36653109387319
65,62.03118739953263
1,57.01125088176613
81,69.33345943576032
34,54.54468483036689
93,62.565843904866036
48,52.2766004385034
83,73.00266900715121
