Model,MSE,RMSE,R2
Linear_Regression,409.1625327063224,20.22776637956654,0.11497631331388292
Decision_Tree,727.2725988700565,26.967992117880346,-0.5730997469891879
Random_Forest,458.35349563135594,21.409191849095002,0.008575643947607348
KNN,428.9351412429378,20.71074941287586,0.07220791321934916
Neural_Network,437.1811517221095,20.908877342461732,0.0543716891974223
SVM,419.0965142576741,20.47184686973,0.09348898670580486
