track_name,artist,album,duration_min,release_year,popularity
599,155,817,4.316433333333333,2014,88
84,206,212,3.4057666666666666,2017,88
798,400,379,3.552216666666667,2001,65
517,236,452,3.393933333333333,2021,63
622,415,173,3.156616666666667,2019,68
29,434,41,3.8291,2015,71
650,157,577,3.725333333333333,2021,81
95,205,247,3.4903833333333334,2019,28
400,52,362,2.4375,2023,47
463,294,655,4.139766666666667,2017,50
569,148,741,2.89955,2016,62
774,467,92,4.03755,2015,87
225,382,207,4.53955,2022,14
124,455,778,3.6273333333333335,2019,69
531,398,465,4.332216666666667,2014,80
290,40,649,3.2924333333333333,2018,78
629,83,292,3.3491,2012,73
829,241,724,3.542,2009,67
578,395,412,3.924883333333333,2010,75
753,279,424,2.39835,2021,77
572,93,505,3.580766666666667,2018,81
30,487,42,2.926816666666667,2023,30
317,309,21,5.012133333333334,2014,56
299,326,266,2.2,2025,52
115,159,274,3.8535166666666663,2014,66
812,473,736,2.8791,2020,57
224,135,697,4.2522166666666665,1998,75
34,22,176,2.673766666666667,2018,76
227,78,208,2.74285,2024,39
439,313,725,4.152,2004,77
238,451,28,3.663366666666666,2021,64
341,192,315,3.566666666666667,2024,87
5,6,12,1.90475,2024,36
119,246,473,3.6366666666666663,2018,65
642,73,133,3.602216666666666,2018,76
403,82,743,2.816883333333333,2022,73
579,84,510,3.519333333333333,2000,83
187,22,176,4.00555,2018,62
405,291,368,1.6201333333333334,2022,60
553,409,800,2.7274666666666665,2022,87
683,40,166,3.769333333333333,2016,80
912,327,573,4.222433333333333,2016,66
294,422,569,3.688,2015,80
188,369,175,2.5739,2024,37
420,144,382,3.4811,2021,47
111,167,226,3.93155,2003,88
13,387,252,2.1981333333333333,2019,61
286,466,83,3.2989166666666665,2011,78
737,160,642,1.334666666666667,2020,69
36,215,49,2.8611833333333334,2024,34
562,201,498,2.0785666666666667,2025,53
703,112,757,3.711766666666666,2018,71
435,467,168,3.5302333333333333,2022,74
539,395,25,3.1933333333333334,2016,83
877,512,786,2.7913,2024,35
882,3,791,3.390283333333333,2018,83
474,433,681,4.16555,2012,45
674,426,598,3.1826666666666665,2019,80
627,300,560,2.8320666666666665,2025,53
788,345,709,2.7943,2022,71
135,269,131,4.5196,2021,81
194,269,488,3.369866666666667,2019,80
127,262,125,3.1321833333333333,2018,73
651,298,181,3.747333333333333,2014,85
461,384,411,2.6266,2019,6
365,448,285,8.436666666666667,2017,57
889,327,770,4.7762166666666666,2015,65
452,65,179,2.900033333333333,2022,62
687,422,609,2.8609166666666668,2023,72
417,408,583,2.5657666666666668,2022,86
874,450,231,3.8686666666666665,2008,73
103,452,111,4.9241166666666665,2021,44
497,306,127,4.004666666666667,2009,74
805,395,263,4.599766666666667,2008,85
699,432,585,2.4968833333333333,2018,51
301,87,188,3.7015166666666666,2010,83
769,467,308,4.71455,2025,81
488,520,428,2.2806333333333333,2020,2
494,316,738,3.166,2014,85
552,105,487,3.066733333333333,2018,59
269,155,820,2.8471,2017,82
196,155,817,3.664,2014,74
79,68,91,3.0050666666666666,2024,88
233,365,269,3.5597666666666665,2010,28
98,490,104,2.11475,2024,32
281,49,680,3.18,2007,34
519,10,61,3.1071,1976,72
775,209,689,2.655733333333333,2022,64
875,63,436,2.6622166666666667,2019,36
56,103,742,3.4797666666666665,2018,83
701,308,619,3.6724666666666663,2017,44
839,239,551,3.428,2015,84
471,207,451,5.271333333333334,2014,78
522,44,62,3.3502666666666667,2021,77
811,440,734,2.962,2021,80
827,185,750,2.552833333333333,2024,37
307,159,282,3.1037166666666667,2019,70
564,279,14,2.617766666666667,2019,76
862,196,773,3.361,2018,40
613,352,545,2.942683333333333,2018,39
374,368,337,2.723866666666667,2024,36
515,283,671,3.80155,2011,1
198,46,182,2.4604833333333334,2024,32
705,465,445,3.08495,2014,73
828,309,768,3.4791,2021,56
863,346,774,2.44715,2024,38
301,87,188,3.7015166666666666,2010,80
364,49,680,3.994883333333333,2007,51
265,447,248,2.01935,2024,61
143,422,630,3.866433333333333,2013,73
859,171,767,3.882433333333333,2012,83
885,72,744,3.234783333333333,2019,83
757,125,661,3.5416666666666665,2018,73
436,372,45,4.2122166666666665,2013,79
644,112,623,4.174266666666667,2018,64
74,374,86,3.1093333333333333,2018,38
901,519,803,1.824,2024,79
665,130,14,3.3157666666666668,2018,68
519,10,22,3.1131,2008,67
677,155,820,3.8952,2017,90
398,31,783,3.543433333333333,2019,76
44,110,134,4.8436,2017,73
503,12,441,2.912716666666667,2021,29
545,155,820,3.1546666666666665,2017,63
77,420,89,3.7562166666666665,2007,81
869,130,780,3.2941166666666666,2016,65
318,317,294,2.605766666666667,2019,42
38,349,98,3.213833333333333,2022,50
133,429,706,3.746883333333333,2016,76
92,287,254,3.5297666666666667,2015,76
750,47,289,3.123933333333333,2020,81
342,364,316,2.47475,2022,84
181,322,715,3.0704333333333333,2015,76
344,49,680,3.652433333333333,2007,37
747,459,324,4.006666666666667,2013,92
114,331,460,3.745333333333333,2010,73
909,249,608,2.66985,2020,84
96,450,8,3.863766666666667,2014,83
297,450,812,3.494666666666667,2017,76
195,227,765,3.864,2011,79
177,251,523,3.594533333333333,2013,82
46,151,56,3.0604,2019,77
536,72,277,3.262933333333333,2021,78
