n_clusters,silhouette_score
2,0.211271208416906
3,0.2099046576403494
4,0.19956982138457907
5,0.1909269715630917
6,0.2028494192252972
7,0.20039015609969962
8,0.20014258387274736
9,0.2119236925339572
10,0.20806700873848327
