popularity
95
90
80
87
87
77
73
80
84
88
88
81
85
86
63
68
83
82
86
81
84
87
87
86
87
83
79
72
73
62
88
89
84
89
90
86
74
83
69
86
85
83
77
41
79
85
87
86
75
84
88
86
85
70
87
77
86
84
81
88
71
77
78
74
71
68
85
69
80
83
6
71
81
92
8
83
78
85
82
75
59
76
88
13
66
75
70
64
1
77
76
61
75
1
1
39
12
78
86
69
77
89
86
78
79
18
25
25
61
85
78
80
69
79
28
49
49
56
71
46
63
58
43
45
45
65
42
51
37
34
50
83
2
55
83
82
90
72
82
79
33
76
73
71
59
90
83
78
59
83
72
47
64
73
80
80
74
73
80
83
66
67
81
77
68
78
17
70
76
6
77
73
75
75
65
85
73
61
70
58
84
68
75
68
42
52
81
76
64
72
80
73
81
72
69
76
67
55
68
66
60
78
67
77
3
79
81
2
67
74
81
84
61
4
80
81
76
8
81
74
52
75
58
75
63
77
5
13
38
76
86
48
55
76
72
74
75
81
68
73
85
83
47
80
79
63
69
79
80
89
81
2
52
73
70
82
60
70
67
53
74
87
55
80
52
86
36
84
78
62
84
37
79
87
76
69
76
6
81
76
45
55
66
65
76
62
85
85
54
69
73
71
74
81
81
66
59
79
59
71
76
70
2
78
47
44
44
10
64
38
2
72
78
78
50
1
53
67
61
4
62
90
77
61
82
73
65
77
60
67
78
66
75
65
67
74
83
81
11
55
72
2
75
69
70
77
84
42
36
70
88
59
76
74
74
64
75
85
74
83
38
70
66
79
4
66
73
60
74
67
79
81
84
81
80
36
40
74
57
65
28
70
88
70
20
61
84
82
1
42
77
65
74
73
75
74
63
72
75
82
78
64
67
45
53
63
79
78
40
81
77
70
22
82
13
14
89
76
49
84
71
81
82
39
33
79
76
79
49
62
84
77
79
86
93
79
68
65
49
74
46
80
78
76
68
81
80
72
73
57
56
59
81
76
89
76
50
83
79
66
63
78
54
72
75
68
80
75
72
81
80
74
83
72
73
69
67
72
62
80
81
52
55
63
72
81
55
88
83
84
83
67
71
85
79
86
82
39
82
77
71
77
80
90
78
62
68
79
74
77
71
84
86
90
62
73
32
85
83
83
76
77
74
81
69
74
81
77
83
82
84
30
51
87
57
86
64
78
62
76
81
61
73
55
55
61
82
67
80
86
82
96
61
83
70
57
97
82
77
82
92
80
79
73
35
79
61
68
43
29
74
59
92
39
87
76
66
79
67
79
83
81
81
78
74
65
80
29
69
75
55
2
83
3
82
74
68
43
75
86
73
65
56
81
65
66
66
85
65
78
6
69
79
86
66
67
86
76
80
78
87
74
52
69
73
79
73
87
56
74
1
70
75
69
87
76
72
77
59
80
62
86
26
77
81
44
69
46
73
67
74
84
56
73
80
8
85
63
62
47
2
74
1
86
63
68
78
56
25
53
85
90
19
78
81
92
86
79
29
42
86
85
82
36
83
62
82
49
80
68
66
56
75
63
44
26
78
77
82
82
65
28
93
11
33
30
80
81
69
80
45
73
2
77
30
77
79
56
64
70
82
71
72
56
69
58
71
74
41
84
76
51
86
43
44
48
11
35
86
69
84
30
70
45
85
85
7
5
86
42
81
87
62
60
4
51
37
56
37
40
50
53
77
48
1
52
40
61
37
44
40
52
39
32
37
40
54
37
36
49
37
37
38
36
47
53
38
35
50
37
43
39
36
37
39
37
64
34
34
33
37
36
37
41
39
35
37
36
74
50
77
44
65
64
1
73
33
64
44
35
36
6
1
32
36
32
32
33
34
41
36
48
40
32
42
32
32
31
40
47
33
53
37
37
31
34
36
36
30
37
36
31
35
35
39
33
33
37
35
37
32
33
35
39
34
17
35
1
34
36
30
37
30
34
34
30
33
36
33
30
5
5
30
5
1
