track_name_encoded,artist_encoded,album_encoded,release_year,duration_min
332,43,61,2016,5.7980000000000004e-05
758,454,90,2015,6.729250000000001e-05
45,145,55,2019,5.100666666666667e-05
469,233,536,2015,6.492222222222222e-05
323,480,17,2018,3.080166666666667e-05
215,417,4,2014,7.144444444444445e-05
318,413,496,2005,6.058138888888888e-05
722,234,245,2006,7.027027777777778e-05
821,234,245,2006,0.0001246036111111111
157,234,365,2002,8.00925e-05
764,243,651,2012,6.314805555555556e-05
212,243,651,2012,5.732583333333333e-05
787,384,257,2007,7.666277777777778e-05
472,165,418,2008,6.427777777777778e-05
298,69,305,2008,7.267777777777778e-05
295,83,185,2010,6.169194444444445e-05
706,184,675,2011,5.86e-05
171,38,163,2016,6.554055555555555e-05
432,331,541,2012,6.989611111111111e-05
76,408,87,2007,6.260361111111111e-05
853,109,512,2000,7.41036111111111e-05
109,161,220,2003,6.552583333333334e-05
128,417,4,2014,6.0033333333333333e-05
637,279,535,2013,5.2829166666666666e-05
486,306,716,2014,5.2766666666666664e-05
201,432,184,2012,5.912833333333333e-05
567,384,400,2010,6.541472222222222e-05
776,124,478,2011,6.806666666666666e-05
24,51,65,2010,5.013333333333334e-05
588,149,794,2014,7.194055555555556e-05
708,414,269,2015,5.746666666666666e-05
710,128,140,2015,5.314083333333333e-05
179,200,469,2012,4.8666666666666666e-05
74,104,621,2002,6.626666666666666e-05
574,489,506,2016,5.6579444444444445e-05
507,274,653,2011,6.335916666666667e-05
185,384,706,2012,6.254055555555555e-05
880,105,788,2011,6.84963888888889e-05
172,69,164,2003,8.142583333333334e-05
315,124,395,2014,5.3488888888888886e-05
165,219,155,2012,6.590722222222221e-05
210,463,191,2012,5.461833333333333e-05
614,200,277,2012,5.225555555555555e-05
517,322,449,2012,5.5118055555555554e-05
280,453,81,2011,5.498194444444444e-05
464,156,548,2010,7.315916666666667e-05
465,384,400,2010,8.2285e-05
716,245,622,2011,6.165166666666666e-05
404,83,185,2010,6.1315e-05
401,354,679,2012,6.742583333333334e-05
344,438,549,2012,6.103333333333333e-05
192,221,743,2011,6.44e-05
130,453,754,2013,5.4282499999999994e-05
808,453,683,2012,6.065166666666667e-05
436,453,683,2012,5.66e-05
79,447,504,2005,6.37111111111111e-05
144,47,387,2002,6.791833333333333e-05
273,47,661,2007,6.016666666666667e-05
676,47,387,2002,5.6666666666666664e-05
313,47,63,2013,5.9533333333333335e-05
860,214,72,2005,5.81925e-05
94,199,241,2019,5.817305555555556e-05
337,47,661,2007,5.425166666666667e-05
641,47,661,2007,6.331472222222221e-05
754,47,661,2007,5.255555555555555e-05
832,47,661,2007,6.680361111111111e-05
226,47,661,2007,5.0585e-05
324,47,661,2007,5.6381388888888886e-05
382,47,661,2007,6.45e-05
340,47,661,2007,5.479611111111111e-05
565,47,661,2007,4.874805555555555e-05
147,47,661,2007,3.585138888888888e-05
409,47,661,2007,6.664055555555555e-05
33,47,661,2007,5.381111111111111e-05
357,47,661,2007,6.658138888888888e-05
338,47,661,2007,6.0873888888888884e-05
275,47,661,2007,5.3e-05
274,47,661,2007,5.690722222222222e-05
840,165,745,2012,6.470722222222222e-05
239,465,467,2020,4.427250000000001e-05
53,309,62,2019,3.688333333333333e-05
430,23,461,2018,4.70425e-05
2,32,607,2018,5.194055555555555e-05
663,149,797,2017,6.492e-05
183,283,718,2019,6.400361111111111e-05
236,21,173,2018,5.8918333333333335e-05
512,0,196,2021,3.903694444444445e-05
500,306,435,2019,5.2635e-05
131,417,686,2016,6.244805555555555e-05
75,60,86,2018,5e-05
363,61,208,2018,5.431083333333333e-05
542,101,473,2018,5.111222222222222e-05
97,454,33,2020,5.556666666666667e-05
198,144,244,2020,5.0913888888888885e-05
108,144,244,2020,6.161666666666667e-05
346,370,206,2020,3.67925e-05
433,144,244,2020,5.640666666666666e-05
478,270,413,2021,3.829861111111111e-05
413,138,373,2021,5.801833333333333e-05
434,90,560,2019,5.7510555555555556e-05
125,254,123,2018,5.220305555555555e-05
412,45,283,2020,4.511055555555555e-05
760,493,672,2018,5.131444444444445e-05
494,61,208,2018,4.56125e-05
72,307,83,2020,4.798916666666667e-05
720,227,272,2019,5.0285000000000004e-05
866,70,722,2019,5.3913055555555555e-05
823,29,668,2021,5.379638888888888e-05
168,2,160,2020,5.003833333333333e-05
306,171,634,2020,5.510277777777777e-05
657,17,10,2015,6.196611111111111e-05
652,124,13,2018,5.526277777777778e-05
347,92,350,2018,7.038611111111112e-05
299,307,270,2018,5.952472222222222e-05
301,153,276,2019,5.1728611111111114e-05
391,29,760,2019,5.905722222222222e-05
798,445,209,2020,4.482888888888889e-05
290,368,292,2019,4.8570277777777774e-05
385,478,349,2018,5.167277777777777e-05
591,313,147,2015,4.9963055555555554e-05
525,90,560,2019,4.7429444444444446e-05
822,223,733,2018,6.0885e-05
874,351,569,2021,4.9485e-05
689,452,433,2014,5.141583333333334e-05
819,267,732,2020,4.922222222222222e-05
111,63,115,2021,3.410333333333333e-05
420,61,379,2019,4.1759166666666665e-05
890,242,592,2020,4.44975e-05
188,466,174,2018,4.468888888888889e-05
529,312,654,2017,5.9307222222222225e-05
