,precision,recall,f1-score,support
High,0.42857142857142855,0.5076923076923077,0.4647887323943662,65.0
Low,0.45348837209302323,0.65,0.5342465753424658,60.0
Medium,0.35714285714285715,0.1,0.15625,50.0
Very High,0.0,0.0,0.0,2.0
accuracy,0.4350282485875706,0.4350282485875706,0.4350282485875706,0.4350282485875706
macro avg,0.30980066445182725,0.3144230769230769,0.288821326934208,177.0
weighted avg,0.4119976725416221,0.4350282485875706,0.39592407980893646,177.0
