,precision,recall,f1-score,support
High,0.44285714285714284,0.47692307692307695,0.45925925925925926,65.0
Low,0.5151515151515151,0.5666666666666667,0.5396825396825397,60.0
Medium,0.36585365853658536,0.3,0.32967032967032966,50.0
Very High,0.0,0.0,0.0,2.0
accuracy,0.4519774011299435,0.4519774011299435,0.4519774011299435,0.4519774011299435
macro avg,0.33096557913631086,0.3358974358974359,0.33215303215303216,177.0
weighted avg,0.4406072775233585,0.4519774011299435,0.4447249757984221,177.0
