,precision,recall,f1-score,support
High,0.4383561643835616,0.49230769230769234,0.463768115942029,65.0
Low,0.5,0.43333333333333335,0.4642857142857143,60.0
Medium,0.34,0.34,0.34,50.0
Very High,0.0,0.0,0.0,2.0
accuracy,0.423728813559322,0.423728813559322,0.423728813559322,0.423728813559322
macro avg,0.3195890410958904,0.31641025641025644,0.31701345755693583,177.0
weighted avg,0.426514975621082,0.423728813559322,0.4237405106970324,177.0
