,precision,recall,f1-score,support
High,0.45054945054945056,0.6307692307692307,0.5256410256410257,65.0
Low,0.5909090909090909,0.65,0.6190476190476191,60.0
Medium,0.25,0.1,0.14285714285714285,50.0
Very High,0.0,0.0,0.0,2.0
accuracy,0.480225988700565,0.480225988700565,0.480225988700565,0.480225988700565
macro avg,0.3228646353646354,0.3451923076923077,0.32188644688644685,177.0
weighted avg,0.43638564825005505,0.480225988700565,0.4432337906914179,177.0
