,precision,recall,f1-score,support
High,0.46,0.7076923076923077,0.5575757575757576,65.0
Low,0.5862068965517241,0.5666666666666667,0.576271186440678,60.0
Medium,0.3684210526315789,0.14,0.2028985507246377,50.0
Very High,0.0,0.0,0.0,2.0
accuracy,0.4915254237288136,0.4915254237288136,0.4915254237288136,0.4915254237288136
macro avg,0.3536569872958258,0.3535897435897436,0.3341863736852683,177.0
weighted avg,0.4717144995744768,0.4915254237288136,0.4574215986728633,177.0
