,precision,recall,f1-score,support
High,0.48863636363636365,0.6615384615384615,0.5620915032679739,65.0
Low,0.64,0.5333333333333333,0.5818181818181818,60.0
Medium,0.41025641025641024,0.32,0.3595505617977528,50.0
Very High,0.0,0.0,0.0,2.0
accuracy,0.5141242937853108,0.5141242937853108,0.5141242937853108,0.5141242937853108
macro avg,0.3847231934731935,0.3787179487179487,0.3758650617209771,177.0
weighted avg,0.512283526266577,0.5141242937853108,0.5052122413073269,177.0
