,precision,recall,f1-score,support
High,0.47191011235955055,0.6461538461538462,0.5454545454545454,65.0
Low,0.532258064516129,0.55,0.5409836065573771,60.0
Medium,0.4230769230769231,0.22,0.2894736842105263,50.0
Very High,0.0,0.0,0.0,2.0
accuracy,0.4858757062146893,0.4858757062146893,0.4858757062146893,0.4858757062146893
macro avg,0.3568112749881507,0.3540384615384616,0.3439779590556122,177.0
weighted avg,0.47324004140217335,0.4858757062146893,0.46546466699725647,177.0
